normalization,component,median,mean,p25,p75
raw_global_zscore,Compound (biological),0.02514748592873651,0.057896766307561985,0.00871680833396343,0.08016447729412382
raw_global_zscore,Source/site (cross-site technical),0.7742103575914363,0.7119860290065606,0.5768833119048831,0.8947399519562614
raw_global_zscore,Plate (within-site technical),0.031208394437929998,0.044177086448374106,0.014159233585232321,0.057494769845571184
raw_global_zscore,Residual (well-level),0.12373803577547494,0.1809002190354873,0.05192445850626107,0.2674180368346244
per_plate_zscore,Compound (biological),0.24699297481045035,0.257029535923529,0.1541166956956969,0.3600465653278989
per_plate_zscore,Source/site (cross-site technical),0.042761959386450527,0.0438434117888924,0.03269417132472456,0.051935040203203095
per_plate_zscore,Plate (within-site technical),0.0023531603433941924,0.0036330961359038187,0.0013821140889943666,0.003804692010192876
per_plate_zscore,Residual (well-level),0.7125834701102627,0.6883540989488188,0.5918214011509108,0.792666907015702
