feature,frac_compound,frac_source,frac_plate_within_source,frac_residual,ss_total,compartment,feature_type,channel
Cells_Correlation_RWC_ER_AGP,0.01756221703239804,0.8447282421309918,0.023273303513221315,0.11443623732338874,17592.410987047013,Cells,Correlation,AGP
Cells_Texture_AngularSecondMoment_Mito_5_00_256,0.01990536328395354,0.5849592225536799,0.13889946605949383,0.2562359481028728,31409.489596500644,Cells,Texture,Mito
Image_Granularity_4_DNA,0.04807488533678212,0.5412436467960143,0.029051128318419477,0.3816303395487839,17671.230313089407,Image,Granularity,DNA
Cytoplasm_Intensity_LowerQuartileIntensity_DNA,0.0005133360721637963,0.9862955984606746,0.005134831663350008,0.008056233803811513,23405.465878117153,Cytoplasm,Intensity,DNA
Cytoplasm_Texture_InfoMeas1_RNA_5_03_256,0.042423508519314965,0.5424028408789848,0.15794243316641746,0.25723121743528277,19364.24764048519,Cytoplasm,Texture,RNA
Nuclei_Texture_Variance_ER_3_00_256,0.08233910550326426,0.5546694868539804,0.014558209344228417,0.348433198298527,59190.69625890149,Nuclei,Texture,ER
Nuclei_Texture_SumVariance_Mito_10_01_256,0.15603236861094247,0.31179616602205795,0.07302368612620362,0.45914777924079603,49992.722038360116,Nuclei,Texture,Mito
Image_Granularity_2_Mito,0.0208966081463417,0.8427469713574974,0.05036210430376477,0.08599431619239614,6847.374203071631,Image,Granularity,Mito
Nuclei_Texture_SumVariance_Mito_5_01_256,0.18058346877062412,0.2915406317585463,0.05922612343351,0.4686497760373196,66816.48129470272,Nuclei,Texture,Mito
Cells_Texture_DifferenceVariance_RNA_3_03_256,0.011559706077360845,0.7266458757123174,0.10036082176985005,0.16143359644047173,239626.82581184548,Cells,Texture,RNA
Cells_Correlation_Manders_Mito_ER,0.04476548502719019,0.7394681813387874,0.03533337995422824,0.18043295367979406,16015.638567644834,Cells,Correlation,ER
Cytoplasm_Texture_SumEntropy_RNA_5_00_256,0.010660784492108335,0.8827858509625459,0.038008533743438135,0.06854483080190774,12043.844290233894,Cytoplasm,Texture,RNA
Cells_Texture_Entropy_DNA_3_02_256,0.006541844554868518,0.9609700257282903,0.0076235577007252925,0.024864572016115905,6218.488660760575,Cells,Texture,DNA
