gene,frac_target,frac_guide_within_target,frac_batch,frac_residual,ss_total,ss_total_check
LINC01409,0.09816011722011152,0.007609786027601847,0.011813458948357619,0.882416637803929,496.18570316035374,496.18570316025705
LINC01128,0.11539614580104025,0.006597051206464951,0.0240135733708235,0.8539932296216713,955.1373722392564,955.1373722393362
NOC2L,0.23095787703126505,0.005891548875126488,0.09469895008717252,0.668451624006436,12799.220740705892,12799.220740704946
KLHL17,0.1123965265439062,0.009683802188584577,0.015241137413378925,0.8626785338541303,443.4215288660395,443.4215288660396
HES4,0.1610881106463863,0.006825618365778003,0.023152054115708944,0.8089342168721266,1132.9332113814592,1132.9332113816126
ISG15,0.28394999997256415,0.005181078597194848,0.030232758766152112,0.680636162664089,2227.190235925093,2227.190235925125
SDF4,0.1438475633112515,0.006832948689309797,0.07706432197768819,0.7722551660217506,5338.9564000186,5338.956400018218
B3GALT6,0.13962233361396695,0.0069647958905135424,0.036130020472878534,0.817282850022641,1364.2237751283985,1364.2237751283433
UBE2J2,0.21099463520381678,0.007393743560009568,0.0646291767526935,0.7169824444834803,5267.772082683856,5267.7720826837885
ACAP3,0.10567991810214254,0.008125026935853711,0.013755180690892495,0.8724398742711112,539.6198067326844,539.619806732575
PUSL1,0.16021181444990082,0.007468147328704953,0.04223761677729784,0.7900824214440965,1662.3478115884977,1662.3478115885991
INTS11,0.136352429871761,0.0075863152877345425,0.05516687942119444,0.80089437541931,2489.6491440178215,2489.649144017891
DVL1,0.14440012307958663,0.008521631827890737,0.025233599349143394,0.8218446457433792,921.6436614125025,921.6436614125183
MXRA8,0.13522944023684916,0.005777379040624761,0.017046049812354653,0.8419471309101714,783.680381472517,783.6803814725481
AURKAIP1,0.28917736964598345,0.00786989781869885,0.1994411434858695,0.5035115890494483,108308.21880724214,108308.21880724722
CCNL2,0.12773506736528545,0.006005468995942574,0.08006955239747014,0.7861899112413019,3511.694650171753,3511.694650171818
MRPL20-AS1,0.14340081546537464,0.008056084110817902,0.0322125937326312,0.8163305066911762,1426.5231872568963,1426.523187256897
MRPL20,0.22515580046810213,0.008623009319423714,0.16627263634898679,0.5999485538634873,36162.44689540653,36162.4468954057
ATAD3B,0.250098801970469,0.009311723168028847,0.045547497878081454,0.6950419769834207,3618.368087473414,3618.3680874731654
ATAD3A,0.2825559837048584,0.00822585817814406,0.06993100927801216,0.6392871488389853,8209.517333912052,8209.5173339121
SSU72,0.24135585721433886,0.009813673116584425,0.14714503887977082,0.6016854307893058,28930.070482420124,28930.070482421288
FNDC10,0.1825158339300337,0.007185734135725119,0.034882740332812745,0.7754156916014283,1366.563538601109,1366.5635386010767
MIB2,0.13684992569664567,0.006069170589349145,0.01941241972785183,0.8376684839861533,741.5249109527057,741.5249109527653
CDK11B,0.1179080595284245,0.006828314803673192,0.034154358918795445,0.8411092667491069,1314.5846620068978,1314.5846620069997
SLC35E2B,0.09159309296848521,0.007378461975159144,0.016297421258046892,0.8847310237983087,454.80962925609606,454.8096292560089
CDK11A,0.11913903683837541,0.008109755942046121,0.03266854285086215,0.8400826643687163,1259.966460174246,1259.9664601741824
NADK,0.14232399182746966,0.006894390580544716,0.03857953738417992,0.8122020802078058,1889.0355605812063,1889.035560581101
GNB1,0.173681083089483,0.007721613715367118,0.11493075191464117,0.7036665512805087,9102.738931108246,9102.73893110747
FAAP20,0.15556171991952883,0.00793872911887159,0.09879456545923339,0.7377049855023662,5957.341781053329,5957.341781053276
SKI,0.1017253302347492,0.009055913370899128,0.016317595608104765,0.8729011607862468,530.5142711268621,530.5142711269058
RER1,0.23938290932229817,0.008002185392059515,0.1183734013606168,0.6342415039250255,13292.339955195353,13292.33995519588
WRAP73,0.10569937310959944,0.008326327413952783,0.03317106679275474,0.8528032326836931,979.3077235062278,979.307723506097
SMIM1,0.15314368352954968,0.006559445211270574,0.014157178765853774,0.826139692493326,465.8968516642066,465.8968516640744
LRRC47,0.17112267080671847,0.00580255170124653,0.0487225181888461,0.774352259303189,2512.1986957911527,2512.198695790732
CEP104,0.14042833993798165,0.007735523098976842,0.044369623548069996,0.8074665134149717,1394.4161512180617,1394.4161512182582
DFFB,0.10696635229879133,0.0063064469964915545,0.022424714442878264,0.8643024862618389,539.3657384160291,539.3657384159662
C1orf174,0.13339200992301517,0.009178322502509446,0.039805871651009975,0.8176237959234655,1672.3808557639438,1672.380855764055
RPL22,0.2767345957401979,0.007915302256270374,0.30138562218391307,0.4139644798196187,653664.1959229398,653664.1959229389
ICMT,0.1435775994654311,0.007403502036630896,0.05003411564370862,0.7989847828542294,2721.596287069695,2721.5962870693597
ACOT7,0.14887794727018938,0.006632980358458804,0.06334212603954117,0.7811469463318106,2566.149760191573,2566.149760191513
NOL9,0.14031558001589153,0.007364702635282964,0.06285628650940746,0.7894634308394181,2644.5909725714296,2644.5909725715173
ZBTB48,0.11185391476121787,0.005757175854603451,0.015767427814500082,0.8666214815696787,591.0446417178727,591.0446417179028
KLHL21,0.1171362919666559,0.009908489387609876,0.030914569518812326,0.8420406491269219,959.3168724509395,959.3168724510281
PHF13,0.10825890609406644,0.0088703604968777,0.029071943969116668,0.8537987894399393,1066.8888157282238,1066.8888157284177
THAP3,0.15244044460811187,0.0065215451161053746,0.017392028091196398,0.8236459821845863,824.9938300298282,824.9938300298884
DNAJC11,0.14445005222255264,0.008085349163198773,0.04671638174818606,0.8007482168660625,2262.6130831143387,2262.6130831142846
CAMTA1,0.1552422096895646,0.006418652575805204,0.08538330360302329,0.7529558341316068,5514.734388554849,5514.734388555189
VAMP3,0.11951461849160772,0.007731324976289687,0.03979146678384605,0.8329625897482565,1452.3698732419969,1452.3698732420635
PER3,0.10032727978576492,0.008985042805933471,0.015263577819339453,0.8754240995889623,513.729798798766,513.729798798689
PARK7,0.24466149424143255,0.007898901429486552,0.25417721626734197,0.4932623880617388,141276.73560812918,141276.7356081287
RERE,0.10717259892221151,0.008388295851551207,0.048340942723606936,0.8360981625026304,1976.5317866233452,1976.5317866233563
ENO1,0.3594766919559988,0.00745480363928874,0.18035866244108487,0.45270984196362746,503264.51030416443,503264.5103041624
SLC25A33,0.16577695692816524,0.007897800839570982,0.07331217985501672,0.7530130623772471,4512.912201919742,4512.912201919802
TMEM201,0.10515303359311996,0.008028952564497755,0.017201488479591583,0.8696165253627907,457.4069097841335,457.40690978406684
PIK3CD,0.10987233100619447,0.006359705741724144,0.013065577345637186,0.8707023859064442,497.21547927030247,497.2154792703686
