gene,frac_target,frac_guide_within_target,frac_batch,frac_residual,ss_total,ss_total_check
LINC01409,0.10042666786524666,0.003960936693824723,0.012072631689964005,0.8835397637509647,484.0927402220853,484.0927402221589
LINC01128,0.11830764889693304,0.003524386800813966,0.024034759663516807,0.8541332046387361,931.3037142312177,931.3037142312374
NOC2L,0.23553575637470422,0.00367815282303967,0.09367306801676378,0.6671130227854923,12486.509760520683,12486.509760520485
KLHL17,0.11563311973146398,0.005901707981630188,0.01560909568625471,0.8628560766006511,430.76521120448837,430.76521120442135
HES4,0.16492452578050926,0.004034060816600286,0.023545274416185133,0.8074961389867054,1105.9236739702258,1105.9236739701166
ISG15,0.28826060232248285,0.00242681827948246,0.03047609969105826,0.6788364797069764,2188.706040114674,2188.7060401145995
SDF4,0.14726761237130592,0.0034560350691518154,0.07734010161756405,0.7719362509419783,5207.855720615228,5207.855720614975
B3GALT6,0.1422910043817532,0.0042382410719822555,0.036005089910825044,0.8174656646354395,1335.841878330694,1335.8418783306772
UBE2J2,0.2155837643407903,0.004722592604287458,0.06559398210560681,0.7140996609493153,5154.404434655686,5154.404434655511
ACAP3,0.10843937318257243,0.004018178177803202,0.01371595311206489,0.8738264955275594,525.8585545260125,525.8585545260528
PUSL1,0.1638529883282069,0.004284093292718202,0.04272862814533863,0.7891342902337363,1625.315514714439,1625.3155147145872
INTS11,0.13982350084074008,0.004230459777955662,0.054678557864318474,0.8012674815169859,2427.837055826769,2427.837055826628
DVL1,0.1483315306897345,0.004438689792702457,0.025539106677276425,0.8216906728402866,897.0943184413875,897.0943184412904
MXRA8,0.13810198852496242,0.0027011521626137806,0.01733898213813984,0.8418578771742841,767.2913695826205,767.2913695827181
AURKAIP1,0.29397681777058826,0.005306395896764698,0.19908734912635417,0.5016294372062928,106191.33543617987,106191.33543618249
CCNL2,0.1305885704627506,0.0038933887738892762,0.08033979448557949,0.7851782462777807,3429.984429709491,3429.984429709448
MRPL20-AS1,0.14737504271971769,0.0033959468734428675,0.032392843775181854,0.8168361666316577,1387.9409717128094,1387.9409717127578
MRPL20,0.23052146363998674,0.005295575427595303,0.16735575682307177,0.5968272041093463,35297.197855216495,35297.19785521537
ATAD3B,0.2555999520707967,0.005980613060124804,0.0455608631470401,0.6928585717220384,3539.97530328012,3539.975303280279
ATAD3A,0.2885876785015471,0.004546570073953584,0.0709015419272947,0.6359642094972047,8025.6467707064685,8025.646770706562
SSU72,0.247086734459955,0.005940552824082189,0.14727452165429417,0.5996981910616687,28249.183936103873,28249.183936104288
FNDC10,0.18739909726852544,0.0028834564508357216,0.0357617906190411,0.7739556556615977,1330.8883324823014,1330.8883324821777
MIB2,0.13981907763576332,0.003513223181571917,0.01958609108418323,0.8370816080984816,723.9902327695625,723.9902327695913
CDK11B,0.12081012289394998,0.002659857705242455,0.03484405500824678,0.8416859643925608,1281.2234636256192,1281.223463625642
SLC35E2B,0.0937390919172032,0.004171569843318688,0.016809181336319017,0.8852801569031591,443.6611337868426,443.6611337867534
CDK11A,0.12184558496391594,0.004344591187742858,0.03248063107953478,0.8413291927688065,1229.4676874939207,1229.4676874940903
NADK,0.14591500691090004,0.0037986226135850827,0.03867067622787846,0.8116156942476365,1842.5147667068463,1842.514766706678
GNB1,0.17777246534349556,0.004042553012936895,0.11623578052996793,0.7019492011135995,8890.646585305545,8890.646585305698
FAAP20,0.15968168445770733,0.004702250018749414,0.0984927190781195,0.7371233464454238,5803.459827302068,5803.459827301918
SKI,0.10428474005632518,0.004359202694571014,0.01656551794020986,0.8747905393088938,516.8733571061927,516.8733571061598
RER1,0.24437223645696887,0.00444666266308783,0.11897439957464452,0.6322067013052987,12997.337815194387,12997.337815195257
WRAP73,0.10880990341065278,0.004180945047988597,0.03406716263022831,0.8529419889111303,951.1958733935721,951.1958733936239
SMIM1,0.1566311928141444,0.003183457099631726,0.01409740755553871,0.8260879425306852,455.2438212452523,455.2438212452032
LRRC47,0.17534560781507727,0.00261994160674591,0.04866927596832545,0.7733651746098514,2451.464907527946,2451.4649075282573
CEP104,0.14401623412252407,0.0038764172093737797,0.04387854402887809,0.808228804639224,1358.256954029828,1358.256954029786
DFFB,0.1097931398139257,0.003238077163120849,0.02272301779622568,0.8642457652267278,525.1621776800797,525.1621776801396
C1orf174,0.1370735476538497,0.004270112288859112,0.040138391373058184,0.818517948684233,1627.171164864876,1627.1711648648168
RPL22,0.2822354368608629,0.004953176432699631,0.30072676153578504,0.41208462517065253,640914.1518120213,640914.1518120146
ICMT,0.14692100661585322,0.003517676999700532,0.050027220797551744,0.7995340955868945,2654.2588041049876,2654.2588041049676
ACOT7,0.15220979844974306,0.0035937737159249215,0.06380722758110957,0.7803892002532226,2509.719626791687,2509.7196267915433
NOL9,0.14351804564817414,0.0037353447023249524,0.06332252356263687,0.789424086086864,2579.7213812093987,2579.721381209498
ZBTB48,0.11404981767054787,0.0029057833557647557,0.016103982493428263,0.8669404164802591,577.8006276139818,577.8006276139963
KLHL21,0.1204624426623644,0.004604338481162822,0.030864873807667677,0.8440683450488051,931.0245511983535,931.0245511984227
PHF13,0.11094585486488198,0.004213054261743996,0.029391336779089467,0.8554497540942846,1040.4995249357717,1040.4995249358399
THAP3,0.15556785561491238,0.003864726421151346,0.01769585011002041,0.8228715678539159,806.6447242562464,806.6447242563337
DNAJC11,0.14840436420427494,0.0036385224865782017,0.04663310678625924,0.8013240065228876,2194.8829667694604,2194.882966769649
CAMTA1,0.15910030981513518,0.003025740764373625,0.0852772620675244,0.7525966873529669,5375.433795756062,5375.433795756597
VAMP3,0.12281248861064976,0.003900694770944736,0.040716834980767225,0.8325699816376383,1412.8087398805912,1412.8087398805485
PER3,0.10291693269645787,0.005208266479935207,0.015610707306241835,0.8762640935173651,500.78022711114687,500.780227111059
PARK7,0.2499464202978177,0.004305451893183771,0.2542951046595062,0.4914530231494924,137931.942553841,137931.94255383592
RERE,0.1102040818935768,0.0037079210940014593,0.04890575257862015,0.8371822444338015,1921.9959575259832,1921.995957525759
ENO1,0.3642755818196199,0.005251424252740079,0.1791489464235427,0.4513240475040973,493740.0199516863,493740.0199516949
SLC25A33,0.16963025826938893,0.004370125513950036,0.07358851531420205,0.7524111009024591,4404.951384640914,4404.951384640803
TMEM201,0.10835479416758523,0.0038221211645918184,0.01745453438051542,0.8703685502873075,443.88293651753884,443.88293651746864
PIK3CD,0.1120964117895084,0.0033316399733569427,0.013311388753961399,0.8712605594831733,486.0332404108278,486.0332404108966
PIK3CD-AS2,0.10311448542996755,0.003653699587662008,0.021559253183722503,0.8716725617986479,632.7795794439751,632.7795794440701
CLSTN1,0.1125570966816824,0.0029056175083052188,0.038736451203041124,0.8458008346069713,1338.821826762423,1338.8218267625584
CTNNBIP1,0.15477040232675685,0.004410928415934393,0.046073214738941395,0.7947454545183673,1751.3677667352606,1751.3677667351626
LZIC,0.21996898977184925,0.0054289716500471,0.060793587791159766,0.7138084507869439,4416.192289020827,4416.19228902086
