subset,component,median_fraction,mean_fraction,p25,p75,p95
targeted-only,Target gene,0.1432850544269566,0.1639331928506672,0.1180400113389145,0.1921730805744606,0.2937223571194721
targeted-only,Guide-within-target,0.003958106820195,0.00402373775575707,0.003472148021637,0.00450519584277855,0.00541188274082977
targeted-only,Batch (gemgroup),0.0459287439474095,0.0638541051765465,0.0257015906050146,0.08360138367548009,0.17830829817638846
targeted-only,Residual (cell-level),0.802444299543095,0.7681889642170291,0.7201581935477035,0.8461009970347931,0.8747092963591168
with controls,Target gene,0.1397827380791239,0.16029070851710214,0.11511096203918794,0.18783867164701354,0.2889029164151167
with controls,Guide-within-target,0.0074353018164982,0.007482420889638018,0.0067933408745405,0.0081298560427088,0.00924500871879207
with controls,Batch (gemgroup),0.0457245362676331,0.06369246994238102,0.0255542734803915,0.0833925954056151,0.17856453147294066
with controls,Residual (cell-level),0.8026639697491097,0.7685344006508786,0.7213232734335617,0.8457245896607557,0.8737800166862798
