feature,frac_compound,frac_source,frac_plate_within_source,frac_residual,ss_total,compartment,feature_type,channel
Image_Texture_DifferenceVariance_RNA_3_02_256,0.3030911512486086,0.04901344868492536,0.0009104554282762036,0.6469849446381898,53551.57234513923,Image,Texture,RNA
Cells_Texture_SumVariance_Mito_3_01_256,0.41521475402457536,0.04067234634449618,0.0020479670561817714,0.5420649325747467,158064.52981965354,Cells,Texture,Mito
Nuclei_Granularity_11_Mito,0.24317292258216539,0.01899603516536741,0.0008820316478618305,0.7369490106046054,31655.30133746942,Nuclei,Granularity,Mito
Nuclei_Texture_AngularSecondMoment_Mito_5_02_256,0.04723550117276552,0.07928395137702675,0.008236964354864137,0.8652435830953437,50256.49979855198,Nuclei,Texture,Mito
Cells_Neighbors_AngleBetweenNeighbors_5,0.4960680312561201,0.04766083342076683,0.003528099558387755,0.45274303576472547,129292.49620255675,Cells,Neighbors,
Image_Texture_Entropy_AGP_10_03_256,0.4614220732290718,0.05247567678128724,0.0012729004977141212,0.4848293494919269,87392.85029026249,Image,Texture,AGP
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_7of16,0.02842823652917806,0.07004476423317288,0.04318034112295034,0.8583466581146987,552138.3348157197,Cytoplasm,RadialDistribution,
Cytoplasm_Texture_Correlation_RNA_10_03_256,0.1434411385060357,0.06244768766761208,0.001350242485051744,0.7927609313413004,93787.35004009261,Cytoplasm,Texture,RNA
Cytoplasm_Texture_DifferenceVariance_Mito_10_02_256,0.046606442890448255,0.0953777253957966,0.0016647129596914906,0.8563511187540637,65156.61797474733,Cytoplasm,Texture,Mito
Cytoplasm_Texture_InfoMeas1_Mito_5_02_256,0.17579150848527683,0.03008146507773549,0.0018490521054042575,0.7922779743315834,55422.039577725955,Cytoplasm,Texture,Mito
Image_Intensity_MinIntensity_Mito_BackgroundOnly,0.07287774621737055,0.018183999286164012,0.003514556764770018,0.9054236977316954,17007.223238545823,Image,Intensity,Mito
Cytoplasm_RadialDistribution_FracAtD_Mito_1of4,0.1697036794548456,0.043724355566650545,0.002198662836081609,0.7843733021424223,71290.30122907214,Cytoplasm,RadialDistribution,Mito
Cytoplasm_Intensity_MeanIntensity_ER,0.21835718944239557,0.03501984282565562,0.004808994690340442,0.7418139730416083,66237.53498133589,Cytoplasm,Intensity,ER
Image_Texture_Variance_ER_5_00_256,0.2944649544590536,0.01684993056212179,0.000987250223620734,0.687697864755204,37118.14875538559,Image,Texture,ER
Cytoplasm_Texture_Contrast_RNA_10_03_256,0.4222533370681644,0.03952398154124615,0.0009507316179660826,0.5372719497726234,175640.88382034312,Cytoplasm,Texture,RNA
Cytoplasm_Texture_InfoMeas2_AGP_10_00_256,0.26041595389474287,0.030091647857116603,0.002746514366881147,0.7067458838812594,48231.13001382421,Cytoplasm,Texture,AGP
