compartment,feature_type,channel,frac_compound,frac_source,frac_plate_within_source,frac_residual
Cells,Correlation,AGP,0.028996155662368697,0.8082631531970251,0.02756391634749104,0.10542915958084073
Cells,Correlation,DNA,0.015865674085014436,0.8877101119099613,0.031206908534933565,0.061439783336268386
Cells,Correlation,ER,0.025161417792744688,0.7715680098417143,0.03330536976687946,0.14478902759232154
Cells,Correlation,Mito,0.033218681495308613,0.7860459612021706,0.08617167642352441,0.11712565539427014
Cells,Granularity,AGP,0.19882158281090678,0.443288345531802,0.01064608067064158,0.35176446475313505
Cells,Granularity,DNA,0.05105884418568954,0.728295246955575,0.015589331134215359,0.20089212301999965
Cells,Granularity,ER,0.12380453468601332,0.6261266504278313,0.023344803821892874,0.22714686010974913
Cells,Granularity,Mito,0.14516650104115236,0.5114771532113376,0.03546908861508397,0.30053442334803204
Cells,Granularity,RNA,0.13692629812727722,0.5810912552753966,0.02876665073826186,0.24418362219349782
Cells,Intensity,AGP,0.004994849758735053,0.9496932552936334,0.019480973140152028,0.02376150603935616
Cells,Intensity,DNA,0.0022439835741935804,0.9507300701838431,0.01975705709556178,0.022065390781413008
Cells,Intensity,ER,0.008193323373508615,0.940466991088826,0.009970494803390408,0.03469321664606793
Cells,Intensity,Mito,0.0069176162128431725,0.9268258328966198,0.007584207919396076,0.057160481834875945
Cells,Intensity,RNA,0.0094492198104522,0.9263905061391331,0.011167586142096158,0.05064482849280718
Cells,RadialDistribution,AGP,0.13366451522204512,0.5115276961570079,0.012515802248298633,0.30948813716381973
Cells,RadialDistribution,DNA,0.024410703924527603,0.835781086758798,0.025713315124420898,0.098879105525783
Cells,RadialDistribution,ER,0.04098563760663665,0.6978360963631673,0.03511016333580318,0.22559333735635936
Cells,RadialDistribution,Mito,0.10343421428212618,0.4796102814068788,0.03643604206428022,0.37706919580988196
Cells,RadialDistribution,RNA,0.07224299353055899,0.5644571648476115,0.04105768420612563,0.31953874567662244
Cells,Texture,AGP,0.008519570126352849,0.8810026381649414,0.04109172233584911,0.0481311563077125
Cells,Texture,DNA,0.005442844001383559,0.9445571423677183,0.02625274542997227,0.029077780627444635
Cells,Texture,ER,0.02299062195616649,0.6667761335532507,0.049902001699792836,0.17633217834585657
Cells,Texture,Mito,0.03366791267347776,0.6405509617583824,0.06394609646922925,0.2246385494837601
Cells,Texture,RNA,0.014486582186085058,0.7440190011050904,0.03770724445571146,0.13757125128485484
Cytoplasm,Correlation,AGP,0.02638807347102902,0.8269389261560873,0.038979813623492635,0.10294432747521717
Cytoplasm,Correlation,DNA,0.01138710119889215,0.8179553805233706,0.07125281054636354,0.07661287680176498
Cytoplasm,Correlation,ER,0.02880768739458335,0.773099242562346,0.03618373491691644,0.14025736029221822
Cytoplasm,Correlation,Mito,0.028368446816646645,0.7554570219202719,0.06942299414404451,0.10899365229929317
Cytoplasm,Granularity,AGP,0.1921857337873995,0.4319705985708777,0.011072394828688815,0.3638063291665527
Cytoplasm,Granularity,DNA,0.014553110557841697,0.7450908432981103,0.03288553091778658,0.15875628967937097
Cytoplasm,Granularity,ER,0.108570198625944,0.6310705527691864,0.025311694082309284,0.21478366284285286
Cytoplasm,Granularity,Mito,0.11275334780402266,0.513806858844091,0.04410101909412836,0.2978999649559693
Cytoplasm,Granularity,RNA,0.14133874647946948,0.5629701722067023,0.029135871798614692,0.2783936170270568
Cytoplasm,Intensity,AGP,0.003126707110456013,0.9546403506206186,0.018871105260734565,0.018750625408882234
Cytoplasm,Intensity,DNA,0.0010265403047667126,0.9674574471304692,0.010458114606240862,0.009360973427962186
Cytoplasm,Intensity,ER,0.006390576407731304,0.9512827123361608,0.011824475147614553,0.0269810528191185
Cytoplasm,Intensity,Mito,0.006109818893641952,0.9436712460311262,0.00718618552706909,0.04640459510010433
Cytoplasm,Intensity,RNA,0.008772501873122928,0.9200627283921834,0.007919557443784813,0.061767261146467814
Cytoplasm,RadialDistribution,AGP,0.10270406844173448,0.3281267309390824,0.012560719704615912,0.432676776627883
Cytoplasm,RadialDistribution,DNA,0.014347887077802698,0.8322261165202799,0.019207400788103363,0.07253403473772846
Cytoplasm,RadialDistribution,ER,0.07067951678047993,0.37572295482836854,0.06795271871710233,0.3903942317940574
Cytoplasm,RadialDistribution,Mito,0.10060519626746137,0.3655565016837118,0.06938047110672844,0.33712491583875087
Cytoplasm,RadialDistribution,RNA,0.08710501522337064,0.26259495185893855,0.030924379396979965,0.4778438444992191
Cytoplasm,Texture,AGP,0.011404977678220404,0.8646528645414209,0.04233146009447236,0.053771994326228645
Cytoplasm,Texture,DNA,0.005187245499239668,0.950643551910094,0.017980962151283038,0.023728995428917186
Cytoplasm,Texture,ER,0.022918560211077306,0.7240902157315976,0.05679068434250042,0.16173336051453302
Cytoplasm,Texture,Mito,0.027442695299926566,0.6673356366120334,0.062928850001129,0.20446021937124947
